name,category,location,area_sqft,price,link,latitude,longitude,nearestMRT,distance
Serangoon Garden Estate,Semi-Detached House,None · D19,4000,6400000,https://www.99.co/singapore/sale/property/property-in-singapore-landed-raXvAkhWUfZmebmVHSJm5V,1.3638087,103.8660714,Lorong Chuan,0.01236216845460285
Sui Generis,Condo,23 Balmoral Crescent · D10,2594,4980000,https://www.99.co/singapore/sale/property/sui-generis-condo-9mkuXBMUnAQEnVQ5vKKbMK,1.3161,103.8345123,Newton,0.003962577753185441
Poets Villas,Semi-Detached House,Tagore Avenue · D26,3552,2180000,https://www.99.co/singapore/sale/property/tagore-avenue-landed-a2uRz6xmY8Vr3DizffburU,1.381544,103.828368,Yio Chu Kang,0.016566953047857484
The Montana,Condo,8 Jalan Mutiara · D10,1109,1980000,https://www.99.co/singapore/sale/property/the-montana-condo-7zBbgLKtBJ8fffG7WKqNL9,1.2962463,103.8292055,Orchard,0.008178226987558452
312 Jurong East Street 32,HDB 4 Rooms,D22,1119,450000,https://www.99.co/singapore/sale/property/312-jurong-east-street-32-hdb-okSRagUdZat2kKe9o56Fu5,1.3469902,103.7320391,Chinese Garden,0.00462541307344748
Poets Villas,Semi-Detached House,Tagore Avenue · D26,3251,2200000,https://www.99.co/singapore/sale/property/tagore-avenue-landed-8hzwziLHnpDuqePfAn5gCV,1.381544,103.828368,Yio Chu Kang,0.016566953047857484
886B Woodlands Drive 50,HDB 4 Rooms,Singapore 732886 · D25,990,390000,https://www.99.co/singapore/sale/property/886b-woodlands-drive-50-hdb-XMeqAjNuMLRFhpmq4rpYHA,1.4382805,103.7943227,Admiralty,0.007037955121346614
429 Woodlands Street 41,HDB 4 Rooms,D25,904,300000,https://www.99.co/singapore/sale/property/429-woodlands-street-41-hdb-NCNTt2bEi2Akf48AvzMJNJ,1.4265974,103.7725926,Marsiling,0.0061632220282939
Tree House,Condo,60 Chestnut Avenue · D23,807,980000,https://www.99.co/singapore/sale/property/tree-house-condo-yYhrEuCPdLVzuFa3DJBubU,1.3700787,103.7764219,Bangkit,0.010841273774332909
12C Marsiling Lane,HDB 4 Rooms,Singapore 733012 · D25,1001,420000,https://www.99.co/singapore/sale/property/12c-marsiling-lane-hdb-M2NEJZ5zGNRxBL35S8DgLm,1.4409923,103.7777155,Marsiling,0.009152999141807101
515 Woodlands Drive 14,HDB 4 Rooms,D25,1152,435000,https://www.99.co/singapore/sale/property/515-woodlands-drive-14-hdb-PCADPb6iDKWmqAhtikx98b,1.4347819,103.7903386,Woodlands,0.004495989210399118
887A Woodlands Drive 50,HDB 4 Rooms,Singapore 731887 · D25,989,400000,https://www.99.co/singapore/sale/property/887a-woodlands-drive-50-hdb-V4GR5Hv9vS54P9pF9trZGT,1.4373102,103.7939221,Woodlands,0.007535820074823932
149 Woodlands Street 13,HDB 4 Rooms,D25,1001,375000,https://www.99.co/singapore/sale/property/149-woodlands-street-13-hdb-WjU8SVWLTRY3MrFcziCVwN,1.4358059,103.773,Marsiling,0.0034492576157823225
703 Woodlands Drive 40,HDB 4 Rooms,D25,1076,349000,https://www.99.co/singapore/sale/property/703-woodlands-drive-40-hdb-Sby5uk3LJwcjXA22jAe5G,1.4409939,103.7964137,Admiralty,0.004565118339101007
625A Woodlands Drive 52,HDB 5 Rooms,D25,1313,410000,https://www.99.co/singapore/sale/property/625a-woodlands-drive-52-hdb-NEYLxtJrssD29RMF5FUhgF,1.4335839,103.8001633,Admiralty,0.0070744333320777305
123 Marsiling Rise,HDB 4 Rooms,D25,1055,320000,https://www.99.co/singapore/sale/property/123-marsiling-rise-hdb-CY5GbWbZrL9yy5yn5gjXM9,1.4391816,103.7791113,Woodlands,0.007620646691717013
