name,category,location,area_sqft,price,latitude,longitude,nearestMRT,distance
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,2067,2355000,1.3661523,103.872814,Kovan,0.01371927501655056
Park Colonial,Condo,2 Woodleigh Lane · D13,506,885000,1.3190408,103.8281809,Stevens,0.002418993385694776
Riverfront Residences,Condo,43 Hougang Avenue 7 · D19,1087,1300400,1.371715,103.900472,Hougang,0.00793738445898828
Martin Modern,Condo,8 Martin Place · D9,1798,5185300,1.293264,103.837861,Fort Canning,0.006996805428907429
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,850,1130030,1.3747664,103.9034487,Kangkar,0.009221088770855658
Park Colonial,Condo,2 Woodleigh Lane · D13,743,1350200,1.3190408,103.8281809,Stevens,0.002418993385694776
Parc Botannia,Condo,18 Fernvale Street · D28,1249,1540010,1.397794,103.874894,Thanggam,0.0006749851850287206
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,850,1130060,1.3747664,103.9034487,Kangkar,0.009221088770855658
Parc Botannia,Condo,10 Fernvale Street · D28,1410,1696050,1.397794,103.874894,Thanggam,0.0006749851850287206
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,850,1130050,1.3747664,103.9034487,Kangkar,0.009221088770855658
Park Colonial,Condo,2 Woodleigh Lane · D13,1249,2185000,1.3190408,103.8281809,Stevens,0.002418993385694776
The Tapestry,Condo,59 Tampines Street 86 · D18,926,1135300,1.3534955,103.9291905,Tampines West,0.011976385692270114
Martin Modern,Condo,8 Martin Place · D9,857,2000520,1.293264,103.837861,Fort Canning,0.006996805428907429
The Tapestry,Condo / Apt,59 Tampines Street 86 · D18,926,1135250,1.3534955,103.9291905,Tampines West,0.011976385692270114
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,2303,2563001,1.3661523,103.872814,Kovan,0.01371927501655056
Martin Modern,Condo,8 Martin Place · D9,764,2014600,1.293264,103.837861,Fort Canning,0.006996805428907429
The Tapestry,Condo,59 Tampines Street 86 · D18,1432,1588150,1.3534955,103.9291905,Tampines West,0.011976385692270114
Parc Botannia,Condo,10 Fernvale Street · D28,506,640020,1.397794,103.874894,Thanggam,0.0006749851850287206
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,635,988600,1.3661523,103.872814,Kovan,0.01371927501655056
Amber 45,Condo,45 Amber Road · D15,1130,2380320,1.302636,103.901821,Dakota,0.014230991708241837
Park Colonial,Condo,2 Woodleigh Lane · D13,570,1054000,1.3190408,103.8281809,Stevens,0.002418993385694776
Martin Modern,Condo,8 Martin Place · D9,1733,4843300,1.293264,103.837861,Fort Canning,0.006996805428907429
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,635,988200,1.3661523,103.872814,Kovan,0.01371927501655056
46 Circuit Road,HDB 3 Rooms,Singapore 370046 · D13,743,275000,1.3261917,103.8862615,Mattar,0.003520550759475767
20 Saint George's Road,HDB Executive,Singapore 321020 · D12,1603,930000,1.324733,103.8628925,Boon Keng,0.005463016954028972
30 Jalan Bahagia,HDB 5 Rooms,Singapore 320030 · D12,1313,609000,1.3257668,103.8581751,Boon Keng,0.0075049898547563
